epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,15806.3,1.08986,1.01388,1.24119,0.71992,0.59983,0.65291,0.44723,1.16667,0.97267,1.23916,0.002773,0.002773,0.002773
75,16015.2,1.08821,1.01093,1.24127,0.71995,0.5994,0.65361,0.44747,1.16657,0.97196,1.23897,0.002674,0.002674,0.002674
76,16223.8,1.08017,0.99617,1.2369,0.72159,0.59943,0.65377,0.44773,1.16648,0.9707,1.23866,0.002575,0.002575,0.002575
77,16432.7,1.07412,0.99004,1.23335,0.72059,0.60017,0.65388,0.44825,1.16635,0.97005,1.23814,0.002476,0.002476,0.002476
78,16641.6,1.07633,0.99376,1.23192,0.71648,0.60393,0.65418,0.44841,1.16559,0.9691,1.2371,0.002377,0.002377,0.002377
79,16850.5,1.06906,0.98072,1.22586,0.72013,0.602,0.65453,0.44876,1.16517,0.96821,1.23625,0.002278,0.002278,0.002278
80,17059.5,1.06149,0.96838,1.22354,0.72291,0.59957,0.65495,0.449,1.16499,0.96753,1.23561,0.002179,0.002179,0.002179
81,17268.1,1.05719,0.96706,1.2227,0.7212,0.60233,0.65519,0.44924,1.16457,0.96633,1.23481,0.00208,0.00208,0.00208
82,17476.8,1.05273,0.95763,1.21866,0.72038,0.60213,0.65515,0.44996,1.16384,0.96604,1.23388,0.001981,0.001981,0.001981
83,17685.8,1.05076,0.95515,1.21585,0.72217,0.60234,0.65556,0.45031,1.16316,0.9654,1.23276,0.001882,0.001882,0.001882
84,17894.7,1.04134,0.94118,1.21085,0.72212,0.6026,0.65558,0.45038,1.16269,0.96466,1.232,0.001783,0.001783,0.001783
85,18103.3,1.03855,0.92938,1.20672,0.72099,0.60399,0.65581,0.45072,1.16271,0.96439,1.23144,0.001684,0.001684,0.001684
86,18312.1,1.04023,0.93361,1.20737,0.7232,0.60487,0.65595,0.45091,1.16243,0.96438,1.23087,0.001585,0.001585,0.001585
87,18520.8,1.03378,0.92186,1.20434,0.72634,0.6038,0.65582,0.4511,1.16222,0.96435,1.23038,0.001486,0.001486,0.001486
88,18729.3,1.02436,0.91273,1.20037,0.72438,0.60392,0.65572,0.45143,1.16219,0.96368,1.23001,0.001387,0.001387,0.001387
89,18937.8,1.02354,0.91112,1.19834,0.72335,0.60536,0.65586,0.45123,1.16195,0.96383,1.22937,0.001288,0.001288,0.001288
90,19146.8,1.02509,0.90279,1.19463,0.72505,0.60516,0.65661,0.45194,1.16201,0.96385,1.22895,0.001189,0.001189,0.001189
91,19356.1,0.93578,0.67001,1.12775,0.7246,0.60553,0.65632,0.45226,1.16145,0.96349,1.22808,0.00109,0.00109,0.00109
92,19562.3,0.91998,0.64449,1.11724,0.72397,0.60649,0.65669,0.4528,1.16042,0.96323,1.22675,0.000991,0.000991,0.000991
93,19768.6,0.91129,0.63154,1.11235,0.72565,0.60519,0.65601,0.45288,1.15964,0.96337,1.22586,0.000892,0.000892,0.000892
94,19974.9,0.90222,0.62088,1.10409,0.72395,0.60575,0.65633,0.45359,1.15908,0.96359,1.22523,0.000793,0.000793,0.000793
95,20181.2,0.89256,0.61305,1.09949,0.72909,0.6038,0.65626,0.45367,1.15863,0.96329,1.22449,0.000694,0.000694,0.000694
96,20387.5,0.88442,0.60187,1.09427,0.72669,0.60483,0.65652,0.4536,1.15833,0.96364,1.22397,0.000595,0.000595,0.000595
97,20593.8,0.87766,0.59374,1.08732,0.72996,0.60403,0.65653,0.45407,1.15791,0.96384,1.22343,0.000496,0.000496,0.000496
98,20800.2,0.87116,0.5862,1.08579,0.7279,0.60494,0.65662,0.45464,1.15786,0.96405,1.22304,0.000397,0.000397,0.000397
99,21006.5,0.86705,0.58246,1.08199,0.72937,0.60558,0.65661,0.45485,1.15738,0.96442,1.22254,0.000298,0.000298,0.000298
100,21212.8,0.85756,0.57344,1.07606,0.73344,0.60372,0.65656,0.4553,1.15727,0.96547,1.2222,0.000199,0.000199,0.000199
